complete_sentence,question_text,english_translation,hint,alternate_correct_responses,option_a,option_b,option_c,option_d,correct_option,cefr_level,topic,explanation,resource
Il gelato costa tre euro e cinquanta.,Il gelato costa ___ euro e cinquanta.,The ice cream costs three euros and fifty cents.,,,tre,due,quattro,cinque,A,A1,Numeri e prezzi (0-100),Numbers 0-100: 'tre' means three. Used in pricing to express costs and amounts.,https://www.lawlessitalian.com/grammar/numbers/
Loro preferiscono il caffè italiano.,Loro ___ il caffè italiano.,They prefer Italian coffee.,,,preferiscono,preferisce,preferisco,preferisci,A,A1,Presente indicativo: verbi regolari -ire,Regular -ire verbs: 'preferire' (to prefer) in third person plural is 'preferiscono'. Note the -isc- insertion.,https://www.lawlessitalian.com/grammar/present-indicative/
Io voglio comprare un cane piccolo.,Io ___ comprare un cane piccolo.,I want to buy a small dog.,,,voglio,vuoi,vuole,vogliono,A,A1,"Verbi modali (potere, dovere, volere)",Modal verb 'volere' (to want) in first person singular is 'voglio'. Modal verbs are followed by infinitive verbs.,https://www.lawlessitalian.com/grammar/modal-verbs/
Il cane gioca con la palla in giardino.,Il ___ gioca con la palla in giardino.,The dog plays with the ball in the garden.,,,cane,gatto,pesce,uccello,A,A1,Animali (vocabolario),"Common animals: cane (dog), gatto (cat), pesce (fish), uccello (bird).",https://www.lawlessitalian.com/vocabulary/animals
Ci sono molti studenti nella biblioteca.,___ molti studenti nella biblioteca.,There are many students in the library.,,,Ci sono,C'è,Sono,È,A,A1,C'è / Ci sono,Use 'ci sono' for plural subjects and 'c'è' for singular subjects to express 'there is/are'.,https://www.lawlessitalian.com/grammar/ce-ci-sono
Io bevo sempre il caffè al mattino.,Io bevo sempre il ___ al mattino.,I always drink coffee in the morning.,,,caffè,tè,latte,vino,A,A1,Cibo e bevande (vocabolario),"Common beverages: caffè (coffee), tè (tea), latte (milk), vino (wine).",https://www.lawlessitalian.com/vocabulary/food-drink
Il lunedì io vado sempre in palestra.,Il ___ io vado sempre in palestra.,On Mondays I always go to the gym.,,,lunedì,martedì,mercoledì,giovedì,A,A1,Giorni della settimana (vocabolario),Days of the week with article 'il' express habitual actions: il lunedì = on Mondays.,https://www.lawlessitalian.com/vocabulary/days-week
La domenica noi andiamo sempre al parco.,La ___ noi andiamo sempre al parco.,On Sundays we always go to the park.,,,domenica,sabato,venerdì,martedì,A,A1,Giorni della settimana (vocabolario),"Sunday uses feminine article: la domenica. Other days use masculine: il lunedì, il martedì, etc.",https://www.lawlessitalian.com/vocabulary/days-week
Voi siete molto bravi a cucinare.,___ siete molto bravi a cucinare.,You are very good at cooking.,,,Voi,Tu,Loro,Noi,A,A1,Pronomi soggetto,"Voi is the plural 'you' pronoun, conjugated with siete (you are).",https://www.lawlessitalian.com/grammar/subject-pronouns
Il treno parte da Roma alle nove.,Il treno parte ___ Roma alle nove.,The train leaves from Rome at nine.,,,da,a,in,per,A,A1,Preposizioni semplici,Simple prepositions: 'da' means 'from' and indicates origin or starting point of movement.,https://www.lawlessitalian.com/grammar/prepositions/
La sua bicicletta è rossa.,La ___ bicicletta è rossa.,His/her bicycle is red.,,,sua,suo,suoi,sue,A,A1,Aggettivi possessivi,Possessive adjectives: 'sua' agrees with 'bicicletta' (feminine singular). 'Suo/sua' means his/her and agrees with the possessed object.,https://www.lawlessitalian.com/grammar/possessive-adjectives/
La casa bianca è molto bella.,La casa ___ è molto bella.,The white house is very beautiful.,,,bianca,bianco,bianchi,bianche,A,A1,Aggettivi (accordo e uso),Adjective agreement: 'bianca' agrees with 'casa' (feminine singular). Color adjectives must match the gender and number of the noun.,https://www.lawlessitalian.com/grammar/adjective-agreement/
Io sono italiana e abito a Roma.,Io ___ italiana e abito a Roma.,I am Italian and I live in Rome.,feminine speaker,,sono,sei,è,siamo,A,A1,Verbo essere (to be),The verb 'essere' (to be) conjugated for 'io' (I) is 'sono'. The adjective 'italiana' agrees with the feminine speaker.,https://www.lawlessitalian.com/grammar/verbs/essere/
La bambina è molto alta per la sua età.,La bambina ___ molto alta per la sua età.,The little girl is very tall for her age.,,,sei,è,sono,siete,B,A1,Verbo essere (to be),The verb 'essere' conjugated for third person singular (la bambina = she) is 'è'.,https://www.lawlessitalian.com/grammar/verbs/essere/
Sono le tre e mezzo.,Sono le ___ e mezzo.,It's half past three.,,,due,quattro,tre,cinque,C,A1,Orario (telling time),"When telling time, 'le tre e mezzo' means 'half past three' or '3:30'.",https://www.lawlessitalian.com/vocabulary/telling-time/
A che ora mangi la cena?,A che ___ mangi la cena?,What time do you eat dinner?,,,giorno,ora,tempo,momento,B,A1,Orario (telling time),The expression 'a che ora' means 'at what time' and is used to ask about specific times.,https://www.lawlessitalian.com/vocabulary/telling-time/
La camera da letto è al secondo piano.,La ___ è al secondo piano.,The bedroom is on the second floor.,,,cucina,camera da letto,bagno,salotto,B,A1,Casa (vocabolario),'Camera da letto' means 'bedroom' - a room used for sleeping.,https://www.lawlessitalian.com/vocabulary/house/
Oggi fa molto caldo.,Oggi fa molto ___.,Today it's very hot.,,,freddo,caldo,vento,pioggia,B,A1,Meteo (vocabolario),'Caldo' means 'hot'. The expression 'fa caldo' means 'it's hot' when describing weather.,https://www.lawlessitalian.com/vocabulary/weather/
Ho mal di testa oggi.,Ho mal di ___ oggi.,I have a headache today.,,,pancia,testa,denti,schiena,B,A1,Corpo (vocabolario),'Mal di testa' means 'headache'. 'Testa' means 'head' and is used in this common expression for pain.,https://www.lawlessitalian.com/vocabulary/body-parts/
Mio padre lavora in banca da molti anni.,Mio ___ lavora in banca da molti anni.,My father works in a bank for many years.,,,padre,fratello,zio,nonno,A,A1,Famiglia (vocabolario),"Family members: padre (father), fratello (brother), zio (uncle), nonno (grandfather).",https://www.lawlessitalian.com/vocabulary/family
L'estate è la stagione più calda dell'anno.,L'___ è la stagione più calda dell'anno.,Summer is the hottest season of the year.,,,estate,inverno,primavera,autunno,A,A1,Stagioni (vocabolario),"The four seasons: primavera (spring), estate (summer), autunno (autumn), inverno (winter).",https://www.lawlessitalian.com/vocabulary/seasons
Gli studenti finiscono i compiti prima di cena.,Gli studenti ___ i compiti prima di cena.,The students finish their homework before dinner.,,,finiscono,finono,finisce,finiamo,A,A1,Presente indicativo: verbi regolari -ire con -isc-,Some -ire verbs add -isc- in plural forms: finire → loro finiscono (not finono).,https://www.lawlessitalian.com/grammar/present-tense
C'è un bellissimo castello nella città vecchia.,___ un bellissimo castello nella città vecchia.,There is a beautiful castle in the old city.,,,C'è,Ci sono,È,Sono,A,A1,C'è / Ci sono,Use 'c'è' for singular subjects and 'ci sono' for plural subjects to express 'there is/are'.,https://www.lawlessitalian.com/grammar/ce-ci-sono
Maria è spagnola e vive a Madrid.,Maria è ___ e vive a Madrid.,Maria is Spanish and lives in Madrid.,feminine form,,spagnola,spagnolo,italiana,francese,A,A1,"Geografia (paesi, città, nazionalità)","Nationalities agree with gender: spagnolo (m), spagnola (f), italiano (m), italiana (f).",https://www.lawlessitalian.com/vocabulary/nationalities
Il cavallo corre velocemente nel campo.,Il ___ corre velocemente nel campo.,The horse runs fast in the field.,,,cavallo,cane,gatto,coniglio,A,A1,Animali (vocabolario),"Farm and common animals: cavallo (horse), cane (dog), gatto (cat), coniglio (rabbit).",https://www.lawlessitalian.com/vocabulary/animals
Noi abbiamo una casa grande con giardino.,Noi ___ una casa grande con giardino.,We have a big house with a garden.,,,abbiamo,avete,hanno,ha,A,A1,Verbo avere (to have),"Avere conjugation: io ho, tu hai, lui/lei ha, noi abbiamo, voi avete, loro hanno.",https://www.lawlessitalian.com/grammar/avere
Questi libri sono molto interessanti da leggere.,___ libri sono molto interessanti da leggere.,These books are very interesting to read.,,,Questi,Questo,Quella,Quelle,A,A1,Dimostrativi,"Demonstratives agree with gender and number: questo/questa (this), questi/queste (these).",https://www.lawlessitalian.com/grammar/demonstratives
La cucina ha un tavolo grande.,La ___ ha un tavolo grande.,The kitchen has a big table.,,,cucina,camera,cantina,soffitta,A,A1,Casa (vocabolario),House vocabulary: 'cucina' means kitchen. The feminine article 'la' indicates a feminine noun.,https://www.lawlessitalian.com/vocabulary/house/
Tu capisci bene l'italiano.,Tu ___ bene l'italiano.,You understand Italian well.,,,capisci,capisce,capisco,capiscono,A,A1,Presente indicativo: verbi regolari -ire con -isc-,Regular -ire verbs with -isc-: 'capire' (to understand) in second person singular is 'capisci'. Note the -isc- insertion.,https://www.lawlessitalian.com/grammar/present-indicative/
Ogni sera io guardo la televisione.,Ogni sera io ___ la televisione.,Every evening I watch television.,,,guardo,guardiamo,guardi,guardano,A,A1,Routine quotidiana,Daily routine: 'guardare' (to watch) in first person singular is 'guardo'. Evening activities are common routine topics.,https://www.lawlessitalian.com/vocabulary/daily-routine/
Lei porta una sciarpa calda oggi.,Lei porta una ___ calda oggi.,She wears a warm scarf today.,,,sciarpa,maglietta,gonna,borsa,A,A1,Abbigliamento (vocabolario),Clothing vocabulary: 'sciarpa' means scarf. The indefinite article 'una' and adjective 'calda' indicate feminine singular.,https://www.lawlessitalian.com/vocabulary/clothing/
Noi siamo italiani di Roma.,Noi ___ italiani di Roma.,We are Italians from Rome.,,,siamo,sono,sei,è,A,A1,Verbo essere (to be),The verb 'essere' (to be) conjugated for first person plural is 'siamo'. 'Noi' (we) takes the plural form.,https://www.lawlessitalian.com/grammar/essere/
Il giovedì io vado in palestra.,___ io vado in palestra.,On Thursdays I go to the gym.,,,Il giovedì,Giovedì,Nel giovedì,Al giovedì,A,A1,Giorni della settimana (vocabolario),Days of the week: 'il giovedì' means 'on Thursdays' (recurring action). The definite article expresses habitual actions.,https://www.lawlessitalian.com/vocabulary/days-week/
A pranzo mangio la pasta con il pomodoro.,A pranzo mangio la ___ con il pomodoro.,For lunch I eat pasta with tomato.,,,pizza,pasta,carne,insalata,B,A1,Cibo e bevande (vocabolario),"'Pasta' is a staple Italian food, commonly eaten with tomato sauce.",https://www.lawlessitalian.com/vocabulary/food-drink/
Io mi sveglio alle sette ogni giorno.,Io mi ___ alle sette ogni giorno.,I wake up at seven every day.,,,alzo,sveglio,vesto,lavo,B,A1,Routine quotidiana,'Svegliarsi' means 'to wake up'. The reflexive form 'mi sveglio' means 'I wake up'.,https://www.lawlessitalian.com/grammar/reflexive-verbs/
Il mio cane è molto dolce e giocherellone.,Il mio ___ è molto dolce e giocherellone.,My dog is very sweet and playful.,,,gatto,cane,uccello,pesce,B,A1,Animali (vocabolario),'Cane' means 'dog' - a common domestic animal often described as playful.,https://www.lawlessitalian.com/vocabulary/animals/
I bambini corrono nel parco ogni pomeriggio.,I bambini ___ nel parco ogni pomeriggio.,The children run in the park every afternoon.,,,corre,corriamo,corrono,corri,C,A1,Presente indicativo: verbi regolari -ere,"'Correre' is a regular -ere verb. For third person plural (loro/i bambini), the ending is -ono: corrono.",https://www.lawlessitalian.com/grammar/verbs/present-indicative/
In inverno fa sempre freddo qui.,In inverno fa sempre ___ qui.,In winter it's always cold here.,,,caldo,freddo,bello,brutto,B,A1,Meteo (vocabolario),'Freddo' means 'cold'. The expression 'fa freddo' means 'it's cold' when describing weather.,https://www.lawlessitalian.com/vocabulary/weather/
Mia sorella è dottoressa in ospedale.,Mia sorella è ___ in ospedale.,My sister is a doctor in the hospital.,feminine,,dottore,dottoressa,infermiere,paziente,B,A1,Professioni (vocabolario),'Dottoressa' is the feminine form of 'dottore' (doctor). Professions must agree with gender.,https://www.lawlessitalian.com/vocabulary/professions/
"Io sono francese, vengo da Parigi.","Io sono ___, vengo da Parigi.","I am French, I come from Paris.",,,italiano,spagnolo,francese,tedesco,C,A1,"Geografia (paesi, città, nazionalità)",'Francese' means 'French' - the nationality for people from France. Paris is the capital of France.,https://www.lawlessitalian.com/vocabulary/countries-nationalities/
"Io vorrei un tavolo per due persone, per favore.","Io ___ un tavolo per due persone, per favore.","I would like a table for two people, please.",,,vorrei,voglio,volevo,vorrò,A,A1,Ristorante (frasi e vocabolario),"The conditional 'vorrei' (I would like) is the polite form used in restaurants and formal requests, more courteous than the present 'voglio' (I want).",https://www.lawlessitalian.com/grammar/conditional-mood/
La pizza è molto buona.,___ pizza è molto buona.,The pizza is very good.,,,La,Il,Le,Lo,A,A1,Articoli determinativi,"Pizza is feminine singular, so it takes the feminine singular definite article 'la'.",https://www.lawlessitalian.com/grammar/definite-articles/
Noi abbiamo tre fratelli.,Noi ___ tre fratelli.,We have three brothers.,,,abbiamo,hanno,avete,hai,A,A1,Verbo avere (to have),The first person plural form of 'avere' is 'abbiamo' (we have).,https://www.lawlessitalian.com/grammar/avere/
Tu puoi venire con noi stasera.,Tu ___ venire con noi stasera.,You can come with us tonight.,,,puoi,può,posso,possono,A,A1,"Verbi modali (potere, dovere, volere)",The second person singular form of the modal verb 'potere' is 'puoi' (you can).,https://www.lawlessitalian.com/grammar/potere/
Lei è la mia professoressa di italiano.,___ è la mia professoressa di italiano.,She is my Italian teacher.,,,Lei,Lui,Noi,Loro,A,A1,Pronomi soggetto,The subject pronoun 'Lei' means 'she' and agrees with the feminine noun 'professoressa'.,https://www.lawlessitalian.com/grammar/subject-pronouns/
I miei genitori lavorano in centro.,I miei genitori ___ in centro.,My parents work downtown.,,,lavorano,lavora,lavori,lavoriamo,A,A1,Presente indicativo: verbi regolari -are,The third person plural form of the regular -are verb 'lavorare' is 'lavorano' to agree with 'genitori' (parents).,https://www.lawlessitalian.com/grammar/present-indicative/
Ci sono molti gatti nel giardino.,___ sono molti gatti nel giardino.,There are many cats in the garden.,,,Ci,C'è,Sono,È,A,A1,C'è / Ci sono,Use 'ci sono' with plural nouns. 'Ci sono' means 'there are'.,https://www.lawlessitalian.com/grammar/ci-sono
La sua macchina è di colore blu.,La sua macchina è di colore ___.,His/her car is blue in color.,,,blu,blua,blue,bluo,A,A1,Colori (vocabolario),'Blu' is invariable in Italian - it doesn't change for gender or number.,https://www.lawlessitalian.com/vocabulary/colors
Il bagno è al primo piano.,Il ___ è al primo piano.,The bathroom is on the first floor.,,,bagno,giardino,garage,balcone,A,A1,Casa (vocabolario),"'Bagno' means bathroom. All options are parts of a house, but only bathroom makes sense on a floor inside.",https://www.lawlessitalian.com/vocabulary/house
"Molto piacere di conoscerla, signora.","Molto piacere di ___, signora.","Very pleased to meet you, madam.",formal,,conoscerla,conoscerti,conoscere,conosco,A,A1,Saluti e presentazioni,Use 'conoscerla' (to meet you - formal) with 'signora'. The 'la' pronoun shows formal address.,https://www.lawlessitalian.com/grammar/tu-lei
Mio padre fa il dottore in ospedale.,Mio padre fa il ___ in ospedale.,My father works as a doctor in the hospital.,,,dottore,cuoco,professore,meccanico,A,A1,Professioni (vocabolario),'Dottore' (doctor) is the profession that makes sense in a hospital context. 'Fare il/la + profession' means 'to work as'.,https://www.lawlessitalian.com/vocabulary/professions
Come si chiama Lei?,Come si chiama ___?,What is your name? (formal),formal,,Lei,tu,voi,loro,A,A1,Saluti e presentazioni,"'Lei' is the formal 'you' used in polite situations. 'Tu' is informal, used with friends and family.",https://www.lawlessitalian.com/grammar/formal-vs-informal
La bambina ha una bambola.,___ bambina ha una bambola.,The little girl has a doll.,,,La,Il,Una,Un,A,A1,Articoli determinativi,"'Bambina' is feminine singular, so it takes the feminine definite article 'la'. Definite articles specify particular nouns.",https://www.lawlessitalian.com/grammar/definite-articles
Lui deve fare la spesa oggi.,Lui ___ fare la spesa oggi.,He must do the shopping today.,,,deve,devo,dovete,devono,A,A1,"Verbi modali (potere, dovere, volere)",The third person singular form of the modal verb 'dovere' is 'deve' (he/she must).,https://www.lawlessitalian.com/grammar/dovere/
I miei amici sono molto gentili.,I miei ___ sono molto gentili.,My friends are very kind.,,,amici,amico,amica,amiche,A,A1,Nomi (genere e numero),The masculine plural form 'amici' agrees with the masculine plural article 'i' and verb 'sono'.,https://www.lawlessitalian.com/grammar/gender-number/
Maria è spagnola di Madrid.,Maria è ___ di Madrid.,Maria is Spanish from Madrid.,,,spagnola,italiana,francese,tedesca,A,A1,"Geografia (paesi, città, nazionalità)",The feminine form 'spagnola' (Spanish) agrees with Maria and matches Madrid as the capital of Spain.,https://www.lawlessitalian.com/vocabulary/countries-nationalities/
I bambini finiscono la scuola alle tre.,I bambini ___ la scuola alle tre.,The children finish school at three.,,,finiscono,finisce,finiamo,finite,A,A1,Presente indicativo: verbi regolari -ire con -isc-,The verb 'finire' takes the -isc- insertion in present tense. Third person plural is 'finiscono'.,https://www.lawlessitalian.com/grammar/present-indicative/
La nostra macchina è rossa.,La ___ macchina è rossa.,Our car is red.,,,nostra,nostro,nostre,nostri,A,A1,Aggettivi possessivi,The possessive adjective 'nostra' agrees in gender and number with the feminine singular noun 'macchina'.,https://www.lawlessitalian.com/grammar/possessive-adjectives/
Il nostro professore è molto bravo.,Il ___ professore è molto bravo.,Our teacher is very good.,,,nostro,nostra,nostri,nostre,A,A1,Aggettivi possessivi,'Nostro' agrees with masculine singular 'professore'. Possessive adjectives must agree in gender and number with the noun they modify.,https://www.lawlessitalian.com/grammar/possessive-adjectives
Oggi è una bella giornata di sole.,___ è una bella giornata di sole.,Today is a beautiful sunny day.,,,Oggi,Ieri,Domani,Sempre,A,A1,Espressioni di tempo,'Oggi' means 'today'. All options are time expressions but the sentence structure indicates present time.,https://www.lawlessitalian.com/vocabulary/time-expressions
Le ragazze italiane sono molto gentili.,Le ragazze ___ sono molto gentili.,The Italian girls are very kind.,,,italiane,italiano,italiana,italiani,A,A1,Aggettivi (accordo e uso),Adjectives must agree with the noun they modify. 'Italiane' agrees with 'ragazze' (feminine plural).,https://www.lawlessitalian.com/grammar/adjective-agreement
Io faccio colazione alle otto ogni mattina.,Io faccio ___ alle otto ogni mattina.,I have breakfast at eight every morning.,,,colazione,pranzo,cena,merenda,A,A1,Routine quotidiana,'Colazione' means breakfast. The time 'alle otto' (at eight) in the morning indicates breakfast time.,https://www.lawlessitalian.com/vocabulary/daily-routine
Quanto costa?,Write: How much does it cost?,Quanto costa?,,Quanto costa questo?; Quanto viene?,Quanto costa?,Come costa?,Che costa?,Quando costa?,A,A1,Espressioni comuni,'Quanto costa?' is the standard way to ask about price. 'Quanto' means 'how much' when asking about quantity or price.,https://www.lawlessitalian.com/vocabulary/common-expressions
Marco viene dalla Francia e parla francese.,Marco viene dalla ___ e parla francese.,Marco comes from France and speaks French.,,,Francia,Germania,Spagna,Inghilterra,A,A1,"Geografia (paesi, città, nazionalità)","'Francia' is France in Italian. The sentence indicates he speaks French, so he must come from France.",https://www.lawlessitalian.com/vocabulary/countries-nationalities
C'è una gatta sotto la macchina.,___ una gatta sotto la macchina.,There is a cat under the car.,,,C'è,Ci sono,È,Sono,A,A1,C'è / Ci sono,Use 'c'è' with singular nouns. 'C'è' means 'there is' while 'ci sono' means 'there are'.,https://www.lawlessitalian.com/grammar/ci-sono
Io mangio sempre alle otto di sera.,Io mangio sempre alle ___ di sera.,I always eat at eight in the evening.,,,otto,nove,sette,sei,A,A1,Espressioni di tempo,"Numbers are used to express time. 'Otto' means eight, commonly used for dinner time in Italian culture.",https://www.lawlessitalian.com/vocabulary/time
Loro partono per Roma domani.,Loro ___ per Roma domani.,They leave for Rome tomorrow.,,,partono,partire,parte,parti,A,A1,Presente indicativo: verbi regolari -ire,"'Partire' is a regular -ire verb. The third person plural ending is -ono, so 'loro partono'.",https://www.lawlessitalian.com/grammar/present-tense-ire
Io non parlo francese.,Io ___ parlo francese.,I do not speak French.,,,non,mai,più,ancora,A,A1,Forme negative semplici,'Non' is placed directly before the verb to make a sentence negative. It's the most basic form of negation in Italian.,https://www.lawlessitalian.com/grammar/negation
Il cielo oggi è grigio.,Il cielo oggi è ___.,The sky today is gray.,,,grigio,grigia,grigi,grigie,A,A1,Colori (vocabolario),'Grigio' agrees with 'cielo' which is masculine singular. Color adjectives must agree in gender and number with the noun they describe.,https://www.lawlessitalian.com/vocabulary/colors
Mia sorella ha vent'anni.,Mia ___ ha vent'anni.,My sister is twenty years old.,,,sorella,madre,nonna,zia,A,A1,Famiglia (vocabolario),"'Sorella' means sister. At twenty years old, this would typically refer to a sister rather than other female family members.",https://www.lawlessitalian.com/vocabulary/family
Tu devi studiare per l'esame.,Tu ___ studiare per l'esame.,You must study for the exam.,,,devi,puoi,vuoi,sai,A,A1,"Verbi modali (potere, dovere, volere)","'Devi' is the second person singular of 'dovere' (must/have to). Modal verbs express necessity, possibility, or desire.",https://www.lawlessitalian.com/grammar/modal-verbs
Il cane corre nel giardino.,Il cane corre ___ giardino.,The dog runs in the garden.,,,nel,del,sul,dal,A,A1,Preposizioni semplici,The preposition 'in' contracts with the definite article 'il' to form 'nel' (in + il = nel).,https://www.lawlessitalian.com/grammar/prepositions/
Come si chiama tua madre?,___ si chiama tua madre?,What is your mother's name?,,,Come,Quando,Dove,Perché,A,A1,Parole interrogative,"The interrogative word 'Come' is used to ask about names, appearance, or manner (How/What).",https://www.lawlessitalian.com/grammar/interrogatives/
Il libro costa quindici euro e cinquanta centesimi.,Il libro costa ___ euro e cinquanta centesimi.,The book costs fifteen euros and fifty cents.,,,quindici,cinquanta,settanta,novanta,A,A1,Numeri e prezzi (0-100),The number 'quindici' (15) represents a typical book price within the A1 number range 0-100.,https://www.lawlessitalian.com/vocabulary/numbers/
A dopo,Write: See you later (informal).,See you later (informal).,,,Ci vediamo più tardi,A dopo,Arrivederla,Buona giornata,Prego,A,A1,Saluti e presentazioni,The informal farewell 'A dopo' (see you soon/later) is used between friends or people of the same age.,https://www.lawlessitalian.com/grammar/formal-vs-informal/
Ci sono tre gatti nel cortile.,___ tre gatti nel cortile.,There are three cats in the courtyard.,,,Ci sono,C'è,Ci siamo,C'era,A,A1,C'è / Ci sono,"The plural form 'Ci sono' is used with plural subjects (tre gatti), while 'C'è' is for singular.",https://www.lawlessitalian.com/grammar/ce-ci-sono/
Il mio cavallo è molto veloce.,Il mio ___ è molto veloce.,My horse is very fast.,,,cavallo,pesce,uccello,serpente,A,A1,Animali (vocabolario),The masculine noun 'cavallo' (horse) agrees with 'il mio' and logically fits with being 'veloce' (fast).,https://www.lawlessitalian.com/vocabulary/animals/
Tu apri la finestra per far entrare aria fresca.,Tu ___ la finestra per far entrare aria fresca.,You open the window to let fresh air in.,,,apri,aprono,apriamo,apre,A,A1,Presente indicativo: verbi regolari -ire,"'Apri' is the second person singular form of 'aprire' (to open), a regular -ire verb.",https://www.lawlessitalian.com/grammar/present-tense-ire
Lei finisce sempre i compiti in tempo.,Lei ___ sempre i compiti in tempo.,She always finishes her homework on time.,,,finisce,finite,finiamo,finiscono,A,A1,Presente indicativo: verbi regolari -ire con -isc-,"'Finisce' is the third person singular of 'finire' (to finish), an -ire verb that adds -isc- in singular forms and third person plural.",https://www.lawlessitalian.com/grammar/present-tense-ire-isc
Ai bambini piacciono i dolci colorati.,Ai bambini ___ i dolci colorati.,Children like colorful sweets.,,,piacciono,piace,piacete,piaci,A,A1,Piacere (uso base: piace/piacciono),"Use 'piacciono' with plural nouns. 'I dolci' is plural, so we use 'piacciono'.",https://www.lawlessitalian.com/grammar/piacere
Dove abiti tu con la tua famiglia?,___ abiti tu con la tua famiglia?,Where do you live with your family?,,,Dove,Come,Quando,Perché,A,A1,Parole interrogative,'Dove' means 'where' and is used to ask about location or place.,https://www.lawlessitalian.com/grammar/interrogatives
"Scusi, posso avere il menù per favore?","Scusi, posso avere il ___ per favore?","Excuse me, can I have the menu please?",,,menù,conto,resto,caffè,A,A1,Ristorante (frasi e vocabolario),'Menù' means menu. This is a basic restaurant phrase for requesting the menu.,https://www.lawlessitalian.com/vocabulary/restaurant
Che ore sono?,Write: What time is it?,Che ore sono?,,Che ora è?,Che ore sono?,Che tempo è?,Che ora fa?,Che orario è?,A,A1,Espressioni di tempo,'Che ore sono?' is the standard way to ask for the time. 'Che ora è?' is also correct for singular times.,https://www.lawlessitalian.com/vocabulary/time
Il caffè costa due euro e venti centesimi.,Il caffè costa ___ euro e venti centesimi.,The coffee costs two euros and twenty cents.,,,due,tre,quattro,cinque,A,A1,Numeri e prezzi (0-100),'Due' means 'two'. Numbers are essential vocabulary for expressing prices and quantities.,https://www.lawlessitalian.com/vocabulary/numbers
Questa pizza è molto buona e calda.,___ pizza è molto buona e calda.,This pizza is very good and hot.,,,Questa,Quello,Questi,Quelle,A,A1,Dimostrativi,'Questa' agrees with feminine singular 'pizza'. Demonstratives must agree in gender and number with the noun they modify.,https://www.lawlessitalian.com/grammar/demonstratives
Le mie scarpe sono bianche e comode.,Le mie scarpe sono ___ e comode.,My shoes are white and comfortable.,,,bianche,bianco,bianchi,bianca,A,A1,Colori (vocabolario),"Color adjectives must agree in gender and number with the noun. 'Scarpe' is feminine plural, so 'bianche' is correct.",https://www.lawlessitalian.com/vocabulary/colors
Il tuo libro è molto interessante.,Il ___ libro è molto interessante.,Your book is very interesting.,,,tuo,mio,suo,nostro,A,A1,Aggettivi possessivi,'Tuo' is the masculine singular possessive adjective meaning 'your' (informal). It agrees with 'libro' which is masculine singular.,https://www.lawlessitalian.com/grammar/possessive-adjectives
Noi abbiamo due cani a casa.,Noi ___ due cani a casa.,We have two dogs at home.,,,abbiamo,avete,hanno,ha,A,A1,Verbo avere (to have),'Abbiamo' is the first person plural form of 'avere' (to have). It corresponds to 'we have' in English.,https://www.lawlessitalian.com/grammar/avere
Lei ha fame e vuole mangiare.,Lei ___ fame e vuole mangiare.,She is hungry and wants to eat.,,,ha,ho,hai,hanno,A,A1,Verbo avere (to have),'Ha' is the third person singular form of 'avere'. 'Avere fame' is an idiomatic expression meaning 'to be hungry'.,https://www.lawlessitalian.com/grammar/avere
Un ragazzo gioca nel parco.,___ ragazzo gioca nel parco.,A boy plays in the park.,,,Un,Il,Una,La,A,A1,Articoli indeterminativi,"'Un' is the masculine singular indefinite article meaning 'a/an'. 'Ragazzo' is masculine, so it requires 'un'.",https://www.lawlessitalian.com/grammar/indefinite-articles
Le ragazze studiano in biblioteca.,Le ___ studiano in biblioteca.,The girls study in the library.,,,ragazze,ragazza,ragazzi,ragazzo,A,A1,Nomi (genere e numero),"'Le' is the feminine plural definite article, so the noun must be feminine plural. 'Ragazze' is the plural form of 'ragazza'.",https://www.lawlessitalian.com/grammar/plural-nouns
I bambini dormono nel pomeriggio.,I bambini ___ nel pomeriggio.,The children sleep in the afternoon.,,,dormono,dormire,dorme,dormi,A,A1,Presente indicativo: verbi regolari -ire,"'Dormire' is a regular -ire verb. The third person plural ending is -ono, so 'loro dormono' (they sleep).",https://www.lawlessitalian.com/grammar/present-tense-ire
Tu finisci i compiti stasera.,Tu ___ i compiti stasera.,You finish your homework tonight.,,,finisci,finisce,finiamo,finiscono,A,A1,Presente indicativo: verbi regolari -ire con -isc-,'Finire' is an -ire verb that adds -isc- in most forms. Second person singular: tu finisci (you finish).,https://www.lawlessitalian.com/grammar/present-tense-ire-isc
Mio zio lavora in ospedale.,Mio ___ lavora in ospedale.,My uncle works in a hospital.,,,zio,zia,nonno,fratello,A,A1,Famiglia (vocabolario),"'Zio' means uncle. Working in a hospital is a common profession that could apply to any male family member, but 'zio' fits naturally.",https://www.lawlessitalian.com/vocabulary/family
C'è un supermercato vicino alla stazione.,___ un supermercato vicino alla stazione.,There is a supermarket near the station.,,,C'è,Ci sono,È,Sono,A,A1,C'è / Ci sono,"The singular form 'C'è' is used with singular subjects (un supermercato), while 'Ci sono' is for plural subjects.",https://www.lawlessitalian.com/grammar/ce-ci-sono/
Marco è tedesco di Berlino.,Marco è ___ di Berlino.,Marco is German from Berlin.,,,tedesco,francese,inglese,americano,A,A1,"Geografia (paesi, città, nazionalità)",The masculine nationality 'tedesco' (German) agrees with Marco and corresponds to Berlin as the capital of Germany.,https://www.lawlessitalian.com/vocabulary/countries-nationalities/
